id,village,rus_village,lat,lon,lang,aff,family,standard,default_level,dialect_toplevel,dialect_toplevel_cyr,dialect_nt1,dialect_nt1_cyr,dialect_nt2,dialect_nt2_cyr,dialect_nt3,dialect_nt3_cyr,village_dialect,gltc_lang,lang_col,aff_col,dataset_version
89,Genta,Гента,42.3725836,46.5603422,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,Urada,урадинский,NA,NA,Genta,avar1256,#009999,#009999,2025-03-20
93,Gerel,Герель,41.94451,46.551888,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Tomur,томурский,NA,NA,Gerel,avar1256,#009999,#009999,2025-03-20
95,Gidatli,Гидатли,42.266327,46.374506,Avar,Avar-Andic,East Caucasian,NA,Avar,Southern Avar,Южноаварский,Antsukh,анцухский,Antsrosunkhada,Анцросунхадинский,Kosob,NA,Gidatli,avar1256,#009999,#009999,2025-03-20
96,Gidatlinskiy Most,Гидатлинский Мост,42.395122,46.514566,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,NA,NA,NA,NA,Gidatlinskiy Most,avar1256,#009999,#009999,2025-03-20
100,Gindib,Гиндиб,42.11296,46.50397,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Gindib,avar1256,#009999,#009999,2025-03-20
103,Gozolokolo,Гозолоколо,42.569651,46.61206,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Gozolokolo,avar1256,#009999,#009999,2025-03-20
106,Gondokori,Гондокори,42.5895667,46.6755481,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Gondokori,avar1256,#009999,#009999,2025-03-20
108,Gonokh,Гонох,42.56163,46.6896,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Gonokh,avar1256,#009999,#009999,2025-03-20
110,Goor,Гоор,42.43339,46.56927,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Qahib,кахибский,NA,NA,NA,NA,Goor,avar1256,#009999,#009999,2025-03-20
111,Goor-Khindakh,Гоор-Хиндах,42.451732,46.564373,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Qahib,кахибский,NA,NA,NA,NA,Goor-Khindakh,avar1256,#009999,#009999,2025-03-20
112,Gortkolo,Гортколо,42.576655,46.63945,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Gortkolo,avar1256,#009999,#009999,2025-03-20
113,Gortnob,Гортноб,41.962665,46.525604,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Tomur,томурский,NA,NA,Gortnob,avar1256,#009999,#009999,2025-03-20
126,Dagbash,Дагбаш,42.380347,46.351961,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Daghbash,дагбашский,NA,NA,NA,NA,Dagbash,avar1256,#009999,#009999,2025-03-20
129,Danukh,Данух,42.84282,46.6275,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Danukh,avar1256,#009999,#009999,2025-03-20
132,Datuna,Датуна,42.47357,46.64364,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Datuna,avar1256,#009999,#009999,2025-03-20
133,Dzhalaturi,Джалатури,42.631847,46.567028,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Dzhalaturi,avar1256,#009999,#009999,2025-03-20
139,Zhazhada,Жажада,42.197157,46.424903,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Zhazhada,avar1256,#009999,#009999,2025-03-20
142,Zanata,Заната,42.485146,46.552771,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Baqluq,батлухский,Baqluq proper,собственно батлухский,NA,NA,Zanata,avar1256,#009999,#009999,2025-03-20
148,Igali,Игали,42.7181,46.5811,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Igali,avar1256,#009999,#009999,2025-03-20
149,Izta,Изта,42.30889,46.35667,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Izta,avar1256,#009999,#009999,2025-03-20
151,Ingerdakh,Ингердах,42.58926,46.398373,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Ingerdakh,avar1256,#009999,#009999,2025-03-20
152,Ingishi,Ингиши,42.77477,46.54264,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Ingishi,avar1256,#009999,#009999,2025-03-20
159,Ichichali,Ичичали,42.732617,46.405263,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Ichichali,avar1256,#009999,#009999,2025-03-20
161,Kabasida,Кабасида,42.205771,46.341334,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Kabasida,avar1256,#009999,#009999,2025-03-20
166,Kamilukh,Камилух,41.90911,46.63101,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Tomur,томурский,NA,NA,Kamilukh,avar1256,#009999,#009999,2025-03-20
168,Karadla,Карадла,42.21059,46.29844,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Karadla,avar1256,#009999,#009999,2025-03-20
170,Kardib,Кардиб,42.111443,46.514655,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Kardib,avar1256,#009999,#009999,2025-03-20
172,Katroso,Катросо,42.1898443,46.3278968,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Katroso,avar1256,#009999,#009999,2025-03-20
175,Kakhib,Кахиб,42.4272,46.5969,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Qahib,кахибский,NA,NA,NA,NA,Kakhib,avar1256,#009999,#009999,2025-03-20
177,Kvami,Квами,42.5895667,46.6755481,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Kvami,avar1256,#009999,#009999,2025-03-20
178,Kversatl,Кверсатль,42.302562,46.392793,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Kversatl,avar1256,#009999,#009999,2025-03-20
181,Kedi,Кеди,42.52611,45.96639,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Kedi,avar1256,#009999,#009999,2025-03-20
182,Kienikh,Киених,42.43056,46.66639,Avar,Avar-Andic,East Caucasian,NA,Avar,NA,NA,NA,NA,NA,NA,NA,NA,Kienikh,avar1256,#009999,#009999,2025-03-20
183,Kizhani,Кижани,42.74031,46.364775,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Kizhani,avar1256,#009999,#009999,2025-03-20
185,Kilyatl,Килятль,42.704637,46.466046,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Kilyatl,avar1256,#009999,#009999,2025-03-20
186,Kishdatl,Кишдатль,42.304638,46.342239,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Kishdatl,avar1256,#009999,#009999,2025-03-20
187,Kolo,Коло,42.65769,46.56607,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Kolo,avar1256,#009999,#009999,2025-03-20
188,Kolob,Колоб,42.0709604,46.4817811,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Kolob,avar1256,#009999,#009999,2025-03-20
191,Kosob,Кособ,42.242893,46.368239,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Kosob,avar1256,#009999,#009999,2025-03-20
194,Kuanib,Куаниб,42.509735,46.611385,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Kuanib,avar1256,#009999,#009999,2025-03-20
201,Kunzakh,Кунзах,42.74884,46.66488,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Kunzakh,avar1256,#009999,#009999,2025-03-20
206,Kutlab,Кутлаб,42.09663,46.32982,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsros-Unhada,анцрос-унхадинский,NA,NA,Kutlab,avar1256,#009999,#009999,2025-03-20
208,Landa,Ланда,42.218,46.27432,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Landa,avar1256,#009999,#009999,2025-03-20
214,Magitl,Магитль,42.248081,46.366738,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Magitl,avar1256,#009999,#009999,2025-03-20
215,Mazada,Мазада,42.2328275,46.3831819,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Mazada,avar1256,#009999,#009999,2025-03-20
221,Matlas,Матлас,42.595249,46.605532,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Matlas,avar1256,#009999,#009999,2025-03-20
223,Machada,Мачада,42.37777,46.535,Avar,Avar-Andic,East Caucasian,NA,Avar,Kuyada-Salta,Куяда-салтинское,Kuyada,куядинский,NA,NA,NA,NA,Machada,avar1256,#009999,#009999,2025-03-20
224,Machar,Мачар,42.206556,46.335204,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsuq,анцухский,NA,NA,Machar,avar1256,#009999,#009999,2025-03-20
225,Mesterukh,Местерух,42.5747,46.3964,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Mesterukh,avar1256,#009999,#009999,2025-03-20
226,Metrada,Метрада,42.393034,45.888954,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Metrada,avar1256,#009999,#009999,2025-03-20
227,Mekhelta,Мехельта,42.798277,46.497361,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Mekhelta,avar1256,#009999,#009999,2025-03-20
230,Mikdatl,Микдатль,42.309412,46.380732,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Mikdatl,avar1256,#009999,#009999,2025-03-20
231,Mitliurib,Митлиуриб,42.43537,46.68836,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,North-Eastern Avar,северовосточноаварский,Teletli,телетлинский,Mitliurib,avar1256,#009999,#009999,2025-03-20
232,Mogokh,Могох,42.49944,46.57472,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Baqluq,батлухский,Baqluq proper,собственно батлухский,NA,NA,Mogokh,avar1256,#009999,#009999,2025-03-20
234,Mokoda,Мокода,42.42385,46.66963,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Qahib,кахибский,NA,NA,NA,NA,Mokoda,avar1256,#009999,#009999,2025-03-20
238,Mochokh,Мочох,42.63159,46.61242,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Mochokh,avar1256,#009999,#009999,2025-03-20
245,Musrukh,Мусрух,42.32897,46.51614,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Qeleb,келебский,NA,NA,NA,NA,Musrukh,avar1256,#009999,#009999,2025-03-20
246,Mushuli,Мушули,42.633706,46.498593,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Mushuli,avar1256,#009999,#009999,2025-03-20
247,Nadar,Надар,42.09736,46.36025,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Antsros-Unhada,анцрос-унхадинский,NA,NA,Nadar,avar1256,#009999,#009999,2025-03-20
249,Nakitl,Накитль,42.398,46.608663,Avar,Avar-Andic,East Caucasian,NA,Avar,Hid-Qeleb,Гидское,Hid,собственно гидский,Urada,урадинский,NA,NA,Nakitl,avar1256,#009999,#009999,2025-03-20
250,Nanibika,Нанибика,42.8148532,46.5940654,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Nanibika,avar1256,#009999,#009999,2025-03-20
252,Nachada,Начада,42.198508,46.448902,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Nachada,avar1256,#009999,#009999,2025-03-20
253,Nizhnee Inkho,Нижнее Инхо,42.704518,46.507752,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Nizhnee Inkho,avar1256,#009999,#009999,2025-03-20
254,Nizhnee Khvarshini,Нижнее Хваршини,42.4079791,45.842582,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Nizhnee Khvarshini,avar1256,#009999,#009999,2025-03-20
257,Nizhniy Aradirikh,Нижний Арадирих,42.68979,46.568219,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Nizhniy Aradirikh,avar1256,#009999,#009999,2025-03-20
258,Nizhniy Batlukh,Нижний Батлух,42.4853,46.5239,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Baqluq,батлухский,Baqluq proper,собственно батлухский,NA,NA,Nizhniy Batlukh,avar1256,#009999,#009999,2025-03-20
261,Nizhniy Kolob,Нижний Колоб,42.430087,46.659303,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Qahib,кахибский,NA,NA,NA,NA,Nizhniy Kolob,avar1256,#009999,#009999,2025-03-20
263,Nikar,Никар,42.0737,46.406903,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Nikar,avar1256,#009999,#009999,2025-03-20
264,Niklida,Никлида,42.2328275,46.3831819,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Northern Antlratl,северноанкратльский,Tash,ташский,NA,NA,Niklida,avar1256,#009999,#009999,2025-03-20
265,Nitab,Нитаб,42.51925,46.63256,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Khunzaq,хунзахский,NA,NA,Nitab,avar1256,#009999,#009999,2025-03-20
266,Nitilsukh,Нитилсух,42.04732,46.42938,Avar,Avar-Andic,East Caucasian,NA,Avar,Antlratl,Анкратльское,Southern Antlratl,южноанкратльский,Buhnada,бухнадинский,NA,NA,Nitilsukh,avar1256,#009999,#009999,2025-03-20
267,Novoe Argvani,Новое Аргвани,42.78174,46.60445,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Salataw,салатавский,NA,NA,Novoe Argvani,avar1256,#009999,#009999,2025-03-20
269,Novoe Kheleturi (Kadari),Новое Хелетури (Кадари),42.611632,46.2269978,Avar,Avar-Andic,East Caucasian,NA,Avar,Baqluq-Northern Avar,Батлухско-северное,Northern Avar,северноаварский,Unqratl,ункратльский,NA,NA,Novoe Kheleturi (Kadari),avar1256,#009999,#009999,2025-03-20
